貸出ID,貸出日,返却予定日,会員ID,会員名,会員電話番号,会員住所,書籍ID,書籍名,著者名,出版社,ISBN,分類,貸出状態
1,2024-11-01,2024-11-15,M001,田中一郎,052-111-2222,名古屋市中区栄1-1-1,B001,吾輩は猫である,夏目漱石,岩波書店,978-4003101018,文学,返却済
2,2024-11-01,2024-11-15,M001,田中一郎,052-111-2222,名古屋市中区栄1-1-1,B002,坊っちゃん,夏目漱石,新潮社,978-4101010038,文学,返却済
3,2024-11-02,2024-11-16,M002,佐藤花子,052-222-3333,名古屋市東区泉2-2-2,B003,人間失格,太宰治,新潮社,978-4101006048,文学,貸出中
4,2024-11-03,2024-11-17,M003,鈴木健太,052-333-4444,名古屋市西区名駅3-3-3,B001,吾輩は猫である,夏目漱石,岩波書店,978-4003101018,文学,貸出中
5,2024-11-03,2024-11-17,M003,鈴木健太,052-333-4444,名古屋市西区名駅3-3-3,B004,こころ,夏目漱石,新潮社,978-4101010014,文学,貸出中
6,2024-11-04,2024-11-18,M004,高橋美咲,052-444-5555,名古屋市北区大曽根4-4-4,B005,銀河鉄道の夜,宮沢賢治,新潮社,978-4101092058,文学,返却済
7,2024-11-05,2024-11-19,M002,佐藤花子,052-222-3333,名古屋市東区泉2-2-2,B006,雪国,川端康成,新潮社,978-4101001012,文学,貸出中
8,2024-11-05,2024-11-19,M005,伊藤直樹,052-555-6666,名古屋市南区桜本町5-5-5,B007,羅生門,芥川龍之介,新潮社,978-4101025018,文学,貸出中
9,2024-11-06,2024-11-20,M001,田中一郎,052-111-2222,名古屋市中区栄1-1-1,B008,斜陽,太宰治,新潮社,978-4101006017,文学,貸出中
10,2024-11-07,2024-11-21,M006,渡辺真由,052-666-7777,名古屋市守山区小幡6-6-6,B002,坊っちゃん,夏目漱石,新潮社,978-4101010038,文学,返却済
11,2024-11-08,2024-11-22,M004,高橋美咲,052-444-5555,名古屋市北区大曽根4-4-4,B009,注文の多い料理店,宮沢賢治,新潮社,978-4101092027,文学,貸出中
12,2024-11-08,2024-11-22,M007,山田太郎,052-777-8888,名古屋市緑区鳴海7-7-7,B003,人間失格,太宰治,新潮社,978-4101006048,文学,返却済
13,2024-11-09,2024-11-23,M005,伊藤直樹,052-555-6666,名古屋市南区桜本町5-5-5,B010,舞姫,森鴎外,新潮社,978-4101010069,文学,貸出中
14,2024-11-10,2024-11-24,M002,佐藤花子,052-222-3333,名古屋市東区泉2-2-2,B001,吾輩は猫である,夏目漱石,岩波書店,978-4003101018,文学,返却済
15,2024-11-11,2024-11-25,M008,小林次郎,052-888-9999,名古屋市天白区植田8-8-8,B005,銀河鉄道の夜,宮沢賢治,新潮社,978-4101092058,文学,貸出中
16,2024-11-12,2024-11-26,M003,鈴木健太,052-333-4444,名古屋市西区名駅3-3-3,B006,雪国,川端康成,新潮社,978-4101001012,文学,貸出中
17,2024-11-13,2024-11-27,M006,渡辺真由,052-666-7777,名古屋市守山区小幡6-6-6,B011,伊豆の踊子,川端康成,新潮社,978-4101001029,文学,貸出中
18,2024-11-14,2024-11-28,M001,田中一郎,052-111-2222,名古屋市中区栄1-1-1,B007,羅生門,芥川龍之介,新潮社,978-4101025018,文学,返却済
19,2024-11-15,2024-11-29,M004,高橋美咲,052-444-5555,名古屋市北区大曽根4-4-4,B012,蜘蛛の糸,芥川龍之介,新潮社,978-4101025025,文学,貸出中
20,2024-11-16,2024-11-30,M007,山田太郎,052-777-8888,名古屋市緑区鳴海7-7-7,B004,こころ,夏目漱石,新潮社,978-4101010014,文学,貸出中
21,2024-11-17,2024-12-01,M005,伊藤直樹,052-555-6666,名古屋市南区桜本町5-5-5,B002,坊っちゃん,夏目漱石,新潮社,978-4101010038,文学,貸出中
22,2024-11-18,2024-12-02,M008,小林次郎,052-888-9999,名古屋市天白区植田8-8-8,B008,斜陽,太宰治,新潮社,978-4101006017,文学,返却済
23,2024-11-19,2024-12-03,M002,佐藤花子,052-222-3333,名古屋市東区泉2-2-2,B009,注文の多い料理店,宮沢賢治,新潮社,978-4101092027,文学,貸出中
24,2024-11-20,2024-12-04,M003,鈴木健太,052-333-4444,名古屋市西区名駅3-3-3,B010,舞姫,森鴎外,新潮社,978-4101010069,文学,返却済
25,2024-11-21,2024-12-05,M006,渡辺真由,052-666-7777,名古屋市守山区小幡6-6-6,B003,人間失格,太宰治,新潮社,978-4101006048,文学,貸出中
26,2024-11-22,2024-12-06,M001,田中一郎,052-111-2222,名古屋市中区栄1-1-1,B011,伊豆の踊子,川端康成,新潮社,978-4101001029,文学,貸出中
27,2024-11-23,2024-12-07,M004,高橋美咲,052-444-5555,名古屋市北区大曽根4-4-4,B006,雪国,川端康成,新潮社,978-4101001012,文学,返却済
28,2024-11-24,2024-12-08,M007,山田太郎,052-777-8888,名古屋市緑区鳴海7-7-7,B012,蜘蛛の糸,芥川龍之介,新潮社,978-4101025025,文学,貸出中
29,2024-11-25,2024-12-09,M005,伊藤直樹,052-555-6666,名古屋市南区桜本町5-5-5,B001,吾輩は猫である,夏目漱石,岩波書店,978-4003101018,文学,貸出中
30,2024-11-26,2024-12-10,M008,小林次郎,052-888-9999,名古屋市天白区植田8-8-8,B005,銀河鉄道の夜,宮沢賢治,新潮社,978-4101092058,文学,返却済
